Id;Pregunta;Tema;Dificultad;Tipo;A;B;C;D;Correcta
89;¿Qué es el complejo de Delaunay?;Anàlisi Complexa i de Fourier;Media;Teoria;Alpha;Triangulación dual de Voronoi;Čech;Vietoris-Rips;B
90;¿Qué es el argumento de un complejo?;Anàlisi Complexa i de Fourier;Media;Teoria;Parte imaginaria;Parte real;Módulo;Ángulo con el eje real;D
91;¿Qué es el espectro de Fourier?;Anàlisi Complexa i de Fourier;Media;Teoria;Representación de amplitudes por frecuencia;La transformada;La integral;La serie;A
92;Para la transformada de Fourier de f*g (convolucion), cual es el resultado?;Anàlisi Complexa i de Fourier;Media;Teoria;F(w)-G(w);F(w)G(w);F(w)/G(w);F(w)+G(w);B
93;Para la transformada de Fourier de f*g (convolucion), cual es el resultado?;Anàlisi Complexa i de Fourier;Media;Teoria;F(w)-G(w);F(w)+G(w);F(w)/G(w);F(w)G(w);D
94;Para la transformada de Fourier de f*g (convolucion), cual es el resultado?;Anàlisi Complexa i de Fourier;Media;Teoria;F(w)/G(w);F(w)+G(w);F(w)-G(w);F(w)G(w);D
95;¿Cuántas raíces n-ésimas tiene un complejo?;Anàlisi Complexa i de Fourier;Media;Teoria;1;n;n²;0;B
96;¿Qué es una función holomorfa? (variante);Anàlisi Complexa i de Fourier;Media;Teoria;Integrable;Compleja diferenciable en abierto;Continua;Analítica real;B
97;Para la transformada de Fourier de f*g (convolucion), cual es el resultado?;Anàlisi Complexa i de Fourier;Media;Teoria;F(w)G(w);F(w)+G(w);F(w)/G(w);F(w)-G(w);A
98;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado?;Anàlisi Complexa i de Fourier;Media;Teoria;F(ω)-G(ω);F(ω)/G(ω);F(ω)+G(ω);F(ω)G(ω);D
99;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado?;Anàlisi Complexa i de Fourier;Dificil;Teoria;F(ω)+G(ω);F(ω)G(ω);F(ω)/G(ω);F(ω)-G(ω);B
100;Para una funcion holomorfa f en un abierto simplemente conexo, que se puede afirmar sobre integral_Gamma f(z)dz para cualquier curva cerrada Gamma?;Anàlisi Complexa i de Fourier;Dificil;Teoria;Depende de los polos;Es 2pi i por residuos;Puede ser no cero;Siempre es cero;D
101;Para una funcion holomorfa f en un abierto simplemente conexo, que se puede afirmar sobre integral_Gamma f(z)dz para cualquier curva cerrada Gamma?;Anàlisi Complexa i de Fourier;Dificil;Teoria;Siempre es cero;Es 2pi i por residuos;Depende de los polos;Puede ser no cero;A
102;Para la transformada de Fourier de f*g (convolucion), cual es el resultado? (concepto);Anàlisi Complexa i de Fourier;Dificil;Teoria;F(w)-G(w);F(w)+G(w);F(w)G(w);F(w)/G(w);C
103;Para una funcion holomorfa f en un abierto simplemente conexo, que se puede afirmar sobre integral_Gamma f(z)dz para cualquier curva cerrada Gamma?;Anàlisi Complexa i de Fourier;Dificil;Teoria;Siempre es cero;Puede ser no cero;Es 2pi i por residuos;Depende de los polos;A
104;Para una funcion holomorfa f en un abierto simplemente conexo, que se puede afirmar sobre integral_Gamma f(z)dz para cualquier curva cerrada Gamma?;Anàlisi Complexa i de Fourier;Dificil;Teoria;Depende de los polos;Siempre es cero;Puede ser no cero;Es 2pi i por residuos;B
105;Para una funcion holomorfa f en un abierto simplemente conexo, que se puede afirmar sobre integral_Gamma f(z)dz para cualquier curva cerrada Gamma? (concepto);Anàlisi Complexa i de Fourier;Dificil;Teoria;Es 2pi i por residuos;Depende de los polos;Puede ser no cero;Siempre es cero;D
106;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado? (variante);Anàlisi Complexa i de Fourier;Dificil;Teoria;F(ω)G(ω);F(ω)-G(ω);F(ω)/G(ω);F(ω)+G(ω);A
107;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado?;Anàlisi Complexa i de Fourier;Dificil;Teoria;F(ω)-G(ω);F(ω)/G(ω);F(ω)+G(ω);F(ω)G(ω);D
108;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado?;Anàlisi Complexa i de Fourier;Dificil;Teoria;F(ω)G(ω);F(ω)/G(ω);F(ω)-G(ω);F(ω)+G(ω);A
109;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado?;Anàlisi Complexa i de Fourier;Dificil;Teoria;F(ω)G(ω);F(ω)+G(ω);F(ω)/G(ω);F(ω)-G(ω);A
110;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado?;Anàlisi Complexa i de Fourier;Dificil;Teoria;F(ω)-G(ω);F(ω)+G(ω);F(ω)G(ω);F(ω)/G(ω);C
111;Para la transformada de Fourier de f*g (convolución), ¿cuál es el resultado? (variante);Anàlisi Complexa i de Fourier;Dificil;Teoria;F(ω)/G(ω);F(ω)+G(ω);F(ω)G(ω);F(ω)-G(ω);C
112;|1+i| = ? (variante);Anàlisi Complexa i de Fourier;Facil;Calculo;0;1;√2;2;C
113;|1+i| = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;2;0;1;√2;D
114;|1+i| = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;√2;0;1;2;A
115;Conjugado de 3+4i?;Anàlisi Complexa i de Fourier;Facil;Calculo;-3-4i;3-4i;4+3i;3+4i;B
116;∫_|z|=1 (1/z) dz = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;πi;0;2πi;1;C
117;∫_|z|=1 (1/z) dz = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;πi;0;2πi;1;C
118;|1+i| = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;2;√2;1;0;B
119;∫_|z|=1 (1/z) dz = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;πi;1;0;2πi;D
120;e^(iπ) = ? (variante);Anàlisi Complexa i de Fourier;Facil;Calculo;1;0;-1;i;C
121;|1+i| = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;0;2;1;√2;D
122;|1+i| = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;2;0;1;√2;D
123;|1+i| = ?;Anàlisi Complexa i de Fourier;Facil;Calculo;2;√2;0;1;B
124;Residuo de 1/z en z=0?;Anàlisi Complexa i de Fourier;Facil;Calculo;-1;∞;0;1;D
125;¿Cuántas raíces tiene z³=1?;Anàlisi Complexa i de Fourier;Media;Calculo;3;1;2;0;A
126;Integral ∫_0^π sin(x) dx?;Anàlisi Complexa i de Fourier;Media;Calculo;1;2;0;π;B
127;¿Cuántas raíces tiene z³=1?;Anàlisi Complexa i de Fourier;Media;Calculo;3;0;2;1;A
128;Conjugado de 3+4i? (variante);Anàlisi Complexa i de Fourier;Media;Calculo;-3-4i;3-4i;3+4i;4+3i;B
129;Residuo de 1/z en z=0?;Anàlisi Complexa i de Fourier;Media;Calculo;∞;0;-1;1;D
130;Residuo de 1/z en z=0?;Anàlisi Complexa i de Fourier;Media;Calculo;-1;∞;1;0;C
131;Residuo de 1/z en z=0?;Anàlisi Complexa i de Fourier;Media;Calculo;0;-1;1;∞;C
132;∫_|z|=1 (1/z) dz = ? (variante);Anàlisi Complexa i de Fourier;Media;Calculo;πi;1;2πi;0;C
133;Residuo de 1/z en z=0? (variante);Anàlisi Complexa i de Fourier;Media;Calculo;1;0;-1;∞;A
134;Residuo de 1/z en z=0? (variante);Anàlisi Complexa i de Fourier;Media;Calculo;-1;1;∞;0;B
135;Residuo de 1/z en z=0? (variante);Anàlisi Complexa i de Fourier;Media;Calculo;-1;0;∞;1;D
136;Residuo de 1/z en z=0?;Anàlisi Complexa i de Fourier;Media;Calculo;∞;1;-1;0;B
137;Residuo de 1/z en z=0? (variante);Anàlisi Complexa i de Fourier;Media;Calculo;∞;-1;1;0;C
138;En expansión de Laurent de f(z)=1/(z²(z-1)) alrededor de z=0, ¿coeficiente de 1/z?;Anàlisi Complexa i de Fourier;Dificil;Calculo;0;1;2;-1;D
139;Para integral de contorno de f(z)=e^z/z² alrededor de z=0, ¿resultado?;Anàlisi Complexa i de Fourier;Dificil;Calculo;πi;0;2πi;2πie;C
140;¿Cuál es el residuo de 1/z en z=0?;Anàlisi Complexa i de Fourier;Dificil;Calculo;2πi;-1;0;1;D
141;¿Cuál es el residuo de 1/z² en z=0?;Anàlisi Complexa i de Fourier;Dificil;Calculo;2;1;-1;0;D
142;¿Cuál es la transformada de Fourier de δ(t)?;Anàlisi Complexa i de Fourier;Dificil;Calculo;δ(ω);0;2π;1;D
143;Para integral de contorno de f(z)=e^z/z² alrededor de z=0, ¿resultado?;Anàlisi Complexa i de Fourier;Dificil;Calculo;2πie;2πi;0;πi;B
144;En la expansion de Laurent de f(z)=1/(z^2(z-1)) alrededor de z=0, cual es el coeficiente de 1/z?;Anàlisi Complexa i de Fourier;Dificil;Calculo;0;1;-1;2;C
145;En la expansion de Laurent de f(z)=1/(z^2(z-1)) alrededor de z=0, cual es el coeficiente de 1/z? (concepto);Anàlisi Complexa i de Fourier;Dificil;Calculo;2;-1;0;1;B
146;En la expansion de Laurent de f(z)=1/(z^2(z-1)) alrededor de z=0, cual es el coeficiente de 1/z?;Anàlisi Complexa i de Fourier;Dificil;Calculo;0;2;1;-1;D
147;En expansión de Laurent de f(z)=1/(z²(z-1)) alrededor de z=0, ¿coeficiente de 1/z?;Anàlisi Complexa i de Fourier;Dificil;Calculo;1;-1;0;2;B
148;En la expansion de Laurent de f(z)=1/(z^2(z-1)) alrededor de z=0, cual es el coeficiente de 1/z?;Anàlisi Complexa i de Fourier;Dificil;Calculo;2;0;-1;1;C
149;Para integral de contorno de f(z)=e^z/z² alrededor de z=0, ¿resultado?;Anàlisi Complexa i de Fourier;Dificil;Calculo;0;πi;2πi;2πie;C
150;En expansión de Laurent de f(z)=1/(z²(z-1)) alrededor de z=0, ¿coeficiente de 1/z?;Anàlisi Complexa i de Fourier;Dificil;Calculo;1;0;2;-1;D
151;¿Qué es la persistencia de una característica?;Anàlisi Topològica de Dades;Facil;Teoria;La muerte;La dimensión;Diferencia muerte menos nacimiento;El nacimiento;C
152;¿Qué representa el número de Betti β₀ en un complejo simplicial?;Anàlisi Topològica de Dades;Facil;Teoria;Componentes conexas;Túneles;Cavidades;Dimensión;A
153;¿De qué concepto se trata cuando: qué representa el número de betti β₀ en un complejo simplicial?;Anàlisi Topològica de Dades;Facil;Teoria;Túneles;Componentes conexas;Dimensión;Cavidades;B
154;¿Qué representa el número de Betti β₀ en un complejo simplicial?;Anàlisi Topològica de Dades;Facil;Teoria;Dimensión;Cavidades;Túneles;Componentes conexas;D
155;¿Qué es un grupo de homología?;Anàlisi Topològica de Dades;Facil;Teoria;Un conjunto;Un espacio;Un anillo;Ciclos módulo bordes;D
156;¿Qué es la filtración por subnivel?;Anàlisi Topològica de Dades;Facil;Teoria;Por radio;Conjuntos f⁻¹(-∞ t] al variar t;Por supernivel;Por distancia;B
157;¿Qué es la distancia de bottleneck?;Anàlisi Topològica de Dades;Facil;Teoria;Métrica entre diagramas de persistencia;Euclidiana;De Hausdorff;De Wasserstein;A
158;¿Qué es la homología persistente?;Anàlisi Topològica de Dades;Facil;Teoria;Método para extraer características topológicas a múltiples escalas;PCA;Clustering jerárquico;Regresión lineal;A
159;¿Qué representa el número de Betti β₀ en un complejo simplicial?;Anàlisi Topològica de Dades;Facil;Teoria;Dimensión;Cavidades;Túneles;Componentes conexas;D
160;¿Qué representa el número de Betti β₀ en un complejo simplicial? (variante);Anàlisi Topològica de Dades;Facil;Teoria;Dimensión;Cavidades;Túneles;Componentes conexas;D
161;¿Qué es un diagrama de persistencia?;Anàlisi Topològica de Dades;Facil;Teoria;Árbol de decisión;Matriz de adyacencia;Representación de características topológicas según escala de nacimiento y muerte;Grafo de flujo;C
