Id;Materia;Tematica;N_palabras_clave;Palabras_clave;Criterio_puntuacion_resumen;Palabras_clave_compartidas;Otras_materias_con_esas_palabras;Notas_desambiguacion
21;Aprenentatge Computacional;Intel·ligencia Artificial i Aprenentatge Automatic;10;aprendizaje | entrenamiento | feature | label | epoch | batch | overfitting | regularización | aprenentatge computacional | modelo predictivo;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";batch;Visió per Computador;
22;Computació i Simulació d'Altes Prestacions;Metodes Numerics i Optimitzacio;13;speedup | paralelo | amdahl | hpc | cluster | computación paralela | mpi | memoria compartida | computació altes prestacions | gpu | escalabilidad fuerte | escalabilidad débil | cuello de botella;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";cuello de botella;Fonaments de Computadors;
23;Equacions en Derivades Parcials;Calcul i Equacions;12;edp | ecuación calor | derivadas parciales | hiperbólica | elíptica | parabólica | cfl | equacions derivades | u_t | u_xx | formulación débil | h0^1;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
24;Física, Abstracció i Computació;Modelitzacio Fisica i Informacio;53;física | newton | aceleración | fuerza | energía | ecosistema | geología | litosfera | manto | deriva continental | ph | concentración | química | átomo | molécula | mitosis | gen | adn | proteína | biología | física abstracció | acuífero | manto terrestre | deriva continental | respiración celular | fotosíntesis | ley de newton | segunda ley | tercera ley | f=ma | energía cinética | energía potencial | cantidad de movimiento | hidrocarburo | electronegatividad | mineral | ecuación de arrhenius | estequiometría | equilibrio ácido-base | titulación | kps | solubilidad | velocidad de escape | longitud de onda | frecuencia | ley de ohm | cuerpo negro | función luminosidad | redshift | paralaje | corrección k | expresión diferencial | datación radiométrica;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";adn | cuerpo negro | expresión diferencial | función luminosidad | gen | paralaje | redshift;Anàlisi de Dades en Astrofísica | Bioinformàtica;"Física, química, biología; solapa amb Astrofísica i Bioinformàtica."
25;Teoria de la Informació;Modelitzacio Fisica i Informacio;12;shannon | entropía | información | capacidad canal | codificación fuente | codificación canal | teoria informació | entropía condicional | entropía de una fuente | segundo teorema de shannon | código óptimo | codificación de fuente;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";código óptimo | entropía;Fonaments de Computadors | Tècniques de Disseny d'Algoritmes;
26;Bases de Dades No Relacionals;Bases de Dades;12;mongodb | nosql | documental | clave-valor | cassandra | bases datos no relacionals | base de datos documental | base de datos clave-valor | tipos de nosql | $group | ventaja nosql | datos no estructurados;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
27;Informació Quàntica;Modelitzacio Fisica i Informacio;14;qubit | cuántico | quantum | bell | puerta cuántica | teleportación cuántica | paralelismo cuántico | cnot | informació quàntica | estado de bell | grados de libertad qubit | estados de bell | puerta x | cnot con control;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;Comparte convolución/stride/pooling con Visió per Computador.
28;Modelització i Simulació;Modelitzacio Fisica i Informacio;8;simulación | modelo | eventos discretos | monte carlo | modelització simulació | simulación en tiempo real | simulación de eventos discretos | lista de eventos;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";lista de eventos | modelo | monte carlo | simulación | simulación de eventos discretos;Intel·ligència Artificial | Mètodes Numèrics i Probabilístics;Solapa Monte Carlo amb Mètodes Numèrics Probabilístics.
29;Sistemes Distribuïts i el Núvol;Sistemes i Seguretat Computacional;12;distribuido | nube | cloud | kubernetes | consistencia | cap | sistemes distribuïts | núvol | particiones | cap se sacrifican | throughput | teorema cap;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";consistencia | throughput;Fonaments de Computadors | Bases de Dades Relacionals;
30;Xarxes Neuronals i Aprenentatge Profund;Intel·ligencia Artificial i Aprenentatge Automatic;24;red neuronal | neural | deep learning | lstm | rnn | transformer | attention | embedding | softmax | convolución | pooling | stride | xarxes neuronals | aprenentatge profund | convolution | stride en convolución | batch normalization | residual connection | skip connection | self-attention | encoder-decoder | detección de bordes | visión | reconocimiento imagen;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";convolución | convolution | detección de bordes | pooling | reconocimiento imagen | softmax | stride | visión;Anàlisi Complexa i de Fourier | Visió per Computador;
31;Anàlisi de Dades Financeres;Probabilitat i Ciencia de Dades;32;financiero | economía | pib | deflactor | beta | mercado | riesgo | volatilidad | dividendo | acción | inflación | excedente | keynes | anàlisi dades financeres | multiplicador keynesiano | pmc | deflactor | riesgo sistemático | alpha | ratio sharpe | ratio sortino | tipo de cambio | mercado otc | riesgo de liquidez | excedente del consumidor | excedente del productor | propensión marginal | colateral | margin | valor presente | factor de descuento | descuento;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
32;Anàlisi de Dades Temporals;Probabilitat i Ciencia de Dades;10;serie temporal | raíz unitaria | arima | sarima | estacionariedad | dickey-fuller | tendencia | anàlisi dades temporals | media móvil | ventana de predicción;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
33;Anàlisi Topològica de Dades;Probabilitat i Ciencia de Dades;11;persistencia | homología | topología | betti | diagrama persistencia | filtración | anàlisi topològica | símplice | 0-símplice | 1-símplice | 2-símplice;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
34;Internet de les Coses;Sistemes i Seguretat Computacional;12;iot | sensor | actuador | dispositivo | conectividad | gateway | internet cosas | mqtt | coap | conectividad en iot | seguridad en iot | escalabilidad en iot;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
35;Mètodes d Anàlisi en Ciències de la Salut;Bases de Dades;14;salud | medicina | clínico | ic 95 | odds ratio | nnt | sensibilidad | especificidad | mètodes anàlisi ciències salut | meta-análisis | heterogeneidad | análisis de mediación | valor predictivo positivo | valor predictivo negativo;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";ic 95 | nnt | odds ratio | sensibilidad;Modelització i Inferència | Anàlisi de Dades Complexes;Comparte IC 95, odds ratio, sensibilidad amb Modelització i Inferència.
36;Anàlisi de Dades en Astrofísica;Probabilitat i Ciencia de Dades;12;astrofísica | estrella | galaxia | luminosidad | redshift | paralaje | cuerpo negro | función luminosidad | anàlisi dades astrofísica | stefan-boltzmann | flujo luminosidad | redshift z=;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";cuerpo negro | función luminosidad | paralaje | redshift;Física, Abstracció i Computació;
37;Bioinformàtica;Probabilitat i Ciencia de Dades;27;gen | adn | secuencia | atcg | codón | bioinformática | k-mer | alineamiento | bioinformàtica | secuencia 1000 bases | k-mers únicos | codones posibles | similitud de secuencia | identidad de secuencia | proteoma | genoma | transcriptoma | intrón | exón | traducción | arn a proteína | transcripción | replicación | alineamiento múltiple | reads | contig | expresión diferencial;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";adn | expresión diferencial | gen;Física, Abstracció i Computació;
38;Informació i Seguretat;Sistemes i Seguretat Computacional;14;seguridad | cifrado | criptografía | hash | ataque | salt | informació seguretat | ataque de repetición | ataque de texto cifrado | esteganografía | principio mínimo privilegio | tríada cia | problema de logaritmo discreto | longitud mínima de clave;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
39;Teoria de Jocs;Algoritmia i Teoria de Jocs;11;juego | nash | equilibrio | estrategia | teoría juegos | teoria jocs | equilibrio de nash | juego repetido | spe | juego 3x3 | equilibrio de nash en estrategias;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
40;Visió per Computador;Intel·ligencia Artificial i Aprenentatge Automatic;28;imagen | visión | bordes | detección | resolución | píxel | convolution | visió computador | reconocimiento imagen | detección de bordes | normalización de imagen | resolución de una imagen | píxeles | histograma | bins | canales | rgb | rgba | tensor | batch | feature map | kernel | stride | padding | pooling | softmax | distancia edición | levenshtein;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";batch | convolution | detección de bordes | imagen | kernel | pooling | reconocimiento imagen | softmax | stride | visión;Àlgebra Lineal | Programari de Sistema | Aprenentatge Computacional | Xarxes Neuronals i Aprenentatge Profund;Comparte convolución, kernel, stride amb Xarxes Neuronals.
