Id;Materia;Tematica;N_palabras_clave;Palabras_clave;Criterio_puntuacion_resumen;Palabras_clave_compartidas;Otras_materias_con_esas_palabras;Notas_desambiguacion
14;Tècniques de Disseny d'Algoritmes;Algoritmia i Teoria de Jocs;21;programación dinámica | voraz | divide y vencer | complejidad | diseño algoritmos | branch and bound | backtracking | elección voraz | subestructura óptima | orden bottom-up | código óptimo | algoritmo voraz | mochila voraz | técnicas de diseño de algoritmes | qué es un algoritmo | lifo | pila | búsqueda binaria | fibonacci | lista no ordenada | merge sort;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";código óptimo | merge sort;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics | Teoria de la Informació;
15;Visualització 3D;Algebra i Geometria;45;geometría afín | espacio afín | plano proyectivo | coordenadas homogéneas | cuaternión | cuaterniones | conjugado de un cuaternión | rotación 3d | rotación rigida | eje de rotación | ángulo de rotación | matriz de rotación | ángulos de euler | gimbal lock | slerp | rodrigues | composición de rotaciones | isometría directa | reflexión respecto a un plano | proyección paralela | proyección perspectiva | proyección ortográfica | proyección cilíndrica | punto de fuga | intersección de planos | curva paramétrica | curva de bézier | superficie de revolución | recta en 3d | plano en 3d | producto vectorial | distancia euclídea | escala en dibujo | posición general | visualización 3d | proyección | perspectiva | traslación | rotación | distancia entre | ángulo entre | vector director | plano | recta | geometría;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;"Geometría 3D; puede solapar con Àlgebra (volúmenes) o TDA."
16;Anàlisi Complexa i de Fourier;Calcul i Equacions;29;fourier | complejo | residuo | laurent | holomorfa | transformada fourier | serie fourier | convolución | anàlisi complexa | cuerpo de los reales | módulo de i | conjugado | z=a+bi | forma exponencial | argumento de | teorema de los residuos | frecuencia fundamental | coeficiente de fourier | a_0 | coeficiente a_n | transformada inversa | expansion de laurent | residuo de 1/z | período | periodo | hz | 4 hz | espectro de frecuencias | análisis complejo y de fourier;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";convolución | residuo;Anàlisi de Dades Complexes | Xarxes Neuronals i Aprenentatge Profund;"Fourier/complejos; «convolución» también en Xarxes/Visió."
17;Anàlisi de Dades Complexes;Probabilitat i Ciencia de Dades;27;regresión lineal | regresión múltiple | mínimos cuadrados | mco | modelo lineal | matriz de diseño | residuo | residuos | r² | homocedasticidad | test f | glm | logística | logit | devianza | verosimilitud | bootstrap | remuestreo | predicción | sse | correlación | pearson | datos complejos | anàlisi dades complexes | análisis de datos complejos | variable respuesta | errores normales;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";bootstrap | residuo | verosimilitud;Modelització i Inferència | Anàlisi Complexa i de Fourier;
18;Intel·ligència Artificial;Intel·ligencia Artificial i Aprenentatge Automatic;17;turing | búsqueda informada | heurística admisible | búsqueda no informada | bfs | dfs | búsqueda local | hill climbing | reconocimiento de patrones | patrones estructurales | gramática | minimax | lógica proposicional | recall | precisión | inteligencia artificial | intel·ligència artificial;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;«clasificación/regresión» también en Aprenentatge i Xarxes Neuronals.
19;Mètodes Numèrics i Probabilístics;Metodes Numerics i Optimitzacio;16;monte carlo | pseudoaleatorio | réplicas | varianza | error estándar | euler | runge-kutta | rk4 | taylor | truncamiento | multipaso | métodos numéricos | probabilístico | mètodes numèrics | convergencia de una simulación | métodos numéricos y probabilísticos;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";euler | monte carlo | runge-kutta | varianza;Probabilitat | Equacions Diferencials Ordinàries | Anàlisi de Dades Financeres;"Monte Carlo / simulación; solapa amb Modelització i Simulació."
20;Optimització;Metodes Numerics i Optimitzacio;14;optimización | óptimo | hessiano | newton | bfgs | nelder-mead | programación lineal | dual | primal | simplex | kkt | holgura | optimització | variables de decisión;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";newton;Física, Abstracció i Computació;
21;Aprenentatge Computacional;Intel·ligencia Artificial i Aprenentatge Automatic;11;aprendizaje | entrenamiento | feature | label | epoch | batch | overfitting | regularización | aprenentatge computacional | modelo predictivo | aprendizaje computacional;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";batch;Visió per Computador;
22;Computació i Simulació d'Altes Prestacions;Metodes Numerics i Optimitzacio;23;speedup | paralelo | amdahl | hpc | cluster | computación paralela | mpi | openmpi | open mp | openmp | openacc | cuda | memoria compartida | memoria distribuida | computació altes prestacions | gpu | escalabilidad fuerte | escalabilidad débil | cuello de botella | computación de altas prestaciones | pragma | mpirun | kernel;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";cuello de botella | kernel;Àlgebra Lineal | Fonaments de Computadors | Visió per Computador;
23;Equacions en Derivades Parcials;Calcul i Equacions;21;edp | ecuación calor | ecuación de ondas | burgers | ecuación de tránsito | transito | tráfico | derivadas parciales | hiperbólica | elíptica | parabólica | cfl | courant | equacions derivades | u_t | u_xx | laplace | discriminante | formulación débil | h0^1 | ecuaciones en derivadas parciales;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
24;Física, Abstracció i Computació;Modelitzacio Fisica i Informacio;24;cinemática | dinámica | energía | óptica | optica | ondas | electricidad | termodinámica | termodinamica | campos | reacciones | newton | aceleración | fuerza | f=ma | energía cinética | ley de ohm | longitud de onda | frecuencia | reflexión | campo eléctrico | gas ideal | física abstracció | física, abstracción y computación;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";newton;Optimització;"Física, química, biología; solapa amb Astrofísica i Bioinformàtica."
25;Teoria de la Informació;Modelitzacio Fisica i Informacio;13;shannon | entropía | información | capacidad canal | codificación fuente | codificación canal | teoria informació | entropía condicional | entropía de una fuente | segundo teorema de shannon | código óptimo | codificación de fuente | teoría de la información;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";código óptimo;Tècniques de Disseny d'Algoritmes;
26;Bases de Dades No Relacionals;Bases de Dades;16;mongodb | neo4j | cypher | nosql | documental | grafo | nodos | relaciones | bson | $match | $group | $project | $eq | colección | bases datos no relacionals | bases de datos no relacionales;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";grafo;Algorítmia i Combinatòria en Grafs. Mètodes Heurístics;
27;Informació Quàntica;Modelitzacio Fisica i Informacio;15;qubit | cuántico | quantum | bell | puerta cuántica | teleportación cuántica | paralelismo cuántico | cnot | informació quàntica | estado de bell | grados de libertad qubit | estados de bell | puerta x | cnot con control | información cuántica;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;Comparte convolución/stride/pooling con Visió per Computador.
28;Modelització i Simulació;Modelitzacio Fisica i Informacio;15;anàlisi dimensional | homogeneidad dimensional | sistemes dinàmics discrets | equació en diferències | x_{n+1} | punt fix | cobweb | teranyina | mapa logístic | markov | matriu estocàstica | leslie | distribució invariant | modelització simulació | modelización y simulación;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;Solapa Monte Carlo amb Mètodes Numèrics Probabilístics.
29;Sistemes Distribuïts i el Núvol;Sistemes i Seguretat Computacional;24;distribuido | nube | cloud | iaas | paas | saas | cap | consistencia | vpc | cidr | s3 | ebs | rds | redis | dynamodb | alb | auto scaling | lambda | kubernetes | coulouris | mtbf | mttr | sistemes distribuïts | núvol;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";consistencia;Bases de Dades Relacionals;
30;Xarxes Neuronals i Aprenentatge Profund;Intel·ligencia Artificial i Aprenentatge Automatic;25;red neuronal | neural | deep learning | lstm | rnn | transformer | attention | embedding | softmax | convolución | pooling | stride | xarxes neuronals | aprenentatge profund | convolution | stride en convolución | batch normalization | residual connection | skip connection | self-attention | encoder-decoder | detección de bordes | visión | reconocimiento imagen | redes neuronales y aprendizaje profundo;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";convolución | convolution | detección de bordes | pooling | reconocimiento imagen | softmax | stride | visión;Anàlisi Complexa i de Fourier | Visió per Computador;
31;Anàlisi de Dades Financeres;Probabilitat i Ciencia de Dades;28;ingeniería financiera | enginyeria financera | opción | call | put | payoff | strike | sharpe | beta | capm | var | valor en riesgo | monte carlo | covarianza | cartera | portfolio | volatilidad | varianza | valor presente | descuento | tipo de interés | rendimiento log | gbm | binomial | securitization | titulización | anàlisi dades financeres | análisis de datos financieros;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";binomial | monte carlo | rendimiento log | varianza;Probabilitat | Mètodes Numèrics i Probabilístics | Anàlisi de Dades Temporals;
32;Anàlisi de Dades Temporals;Probabilitat i Ciencia de Dades;18;serie temporal | raíz unitaria | arima | sarima | estacionariedad | dickey-fuller | adf | acf | pacf | garch | diferenciación | retardo | lag | media móvil | ventana de predicción | rendimiento log | anàlisi dades temporals | análisis de datos temporales;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";rendimiento log;Anàlisi de Dades Financeres;
33;Anàlisi Topològica de Dades;Probabilitat i Ciencia de Dades;18;persistencia | homología | homología persistente | betti | diagrama persistencia | birth | death | filtración | vietoris-rips | rips | cech | čech | símplice | 0-símplice | 1-símplice | 2-símplice | anàlisi topològica | análisis topológico de datos;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
34;Internet de les Coses;Sistemes i Seguretat Computacional;13;iot | sensor | actuador | dispositivo | conectividad | gateway | internet cosas | mqtt | coap | conectividad en iot | seguridad en iot | escalabilidad en iot | internet de las cosas;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;
35;Mètodes d Anàlisi en Ciències de la Salut;Bases de Dades;15;salud | medicina | clínico | ic 95 | odds ratio | nnt | sensibilidad | especificidad | mètodes anàlisi ciències salut | meta-análisis | heterogeneidad | análisis de mediación | valor predictivo positivo | valor predictivo negativo | métodos de análisis en ciencias de la salud;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";ic 95 | nnt | odds ratio;Modelització i Inferència;Comparte IC 95, odds ratio, sensibilidad amb Modelització i Inferència.
36;Anàlisi de Dades en Astrofísica;Probabilitat i Ciencia de Dades;23;gammapy | VHE | li & ma | on/off | significancia | MAGIC | fermi | H(z) | H0 | omega_m | mcmc | redshift | poisson | matched filter | SNR | blanqueamiento | nyquist | ASD | neutrino | supernova | theta2 | anàlisi dades astrofísica | análisis de datos en astrofísica;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";poisson | redshift;Probabilitat | Física, Abstracció i Computació;Cosmología H(z), gamma VHE (Li&Ma), ondas gravitacionales, Poisson. Sin fotometría clásica.
37;Bioinformàtica;Probabilitat i Ciencia de Dades;27;gen | adn | secuencia | atcg | codón | bioinformática | k-mer | alineamiento | bioinformàtica | secuencia 1000 bases | k-mers únicos | codones posibles | similitud de secuencia | identidad de secuencia | proteoma | genoma | transcriptoma | intrón | exón | traducción | arn a proteína | transcripción | replicación | alineamiento múltiple | reads | contig | expresión diferencial;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";adn | k-mer;Física, Abstracció i Computació;Secuencias, BLAST, Hamming, filogenia. Sin NLP clínico.
38;Informació i Seguretat;Sistemes i Seguretat Computacional;23;AES | SubBytes | ShiftRows | MixColumns | césar | vigenère | hill | LFSR | bloom | filtro de bloom | RSA | firma digital | SHA-256 | hash | hash criptográfico | aritmética modular | inverso modular | número primo | rondas AES | clave AES-128 | 2^n | informació seguretat | criptografia i seguretat;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";salt | tríada cia;—;Vigenère, César, Bloom, RSA/hash, esteganografía, salt, DH, SHA-256. AES/LFSR en repuesto.
39;Teoria de Jocs;Algoritmia i Teoria de Jocs;12;juego | nash | equilibrio | estrategia | teoría juegos | teoria jocs | equilibrio de nash | juego repetido | spe | juego 3x3 | equilibrio de nash en estrategias | teoría de juegos;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";;;Nash, SPE, maximin, suma cero. IoU es visión, no juegos.
40;Visió per Computador;Intel·ligencia Artificial i Aprenentatge Automatic;29;imagen | visión | bordes | detección | resolución | píxel | convolution | visió computador | reconocimiento imagen | detección de bordes | normalización de imagen | resolución de una imagen | píxeles | histograma | bins | canales | rgb | rgba | tensor | batch | feature map | kernel | stride | padding | pooling | softmax | distancia edición | levenshtein | visión por computador;"Puntuación = nº de Palabras_clave presentes como subcadena en Pregunta+A+B+C+D (texto normalizado: minúsculas, sin acentos). No asigna Materia automáticamente; sirve para priorizar eliminaciones e intercambios. Fuente editable: Data/criterios_clasificacion_materia.csv.";batch | convolution | detección de bordes | imagen | kernel | pooling | reconocimiento imagen | softmax | stride | visión;Àlgebra Lineal | Aprenentatge Computacional | Computació i Simulació d'Altes Prestacions | Xarxes Neuronals i Aprenentatge Profund;Comparte convolución, kernel, stride amb Xarxes Neuronals.
